date,open,close,high,low,volume,amount,change
2025-11-11,7364.93,7291.61,7379.81,7281.97,191660313.0,338597660848.1,-0.995528810185577
2025-11-12,7264.79,7243.25,7305.86,7187.87,185507010.0,313840341324.2,-0.2964985911499157
2025-11-13,7243.64,7355.29,7366.41,7243.64,199890230.0,339596060555.8,1.5413521378754278
2025-11-14,7283.7,7235.46,7329.6,7235.46,205864910.0,310485059932.4,-0.6623007537377952
2025-11-17,7248.92,7235.35,7262.33,7202.59,203050602.0,310823159399.7,-0.1872003001826439
2025-11-18,7215.03,7151.02,7230.54,7118.41,202214121.0,306540024621.6,-0.8871757982988193
2025-11-19,7141.26,7122.75,7178.15,7086.12,162786602.0,256755086038.0,-0.2591979566631129
2025-11-20,7174.1,7061.95,7180.73,7056.9,159618746.0,254158167502.1,-1.5632622907403095
2025-11-21,6955.75,6817.41,6986.78,6817.41,208933384.0,310968718151.3,-1.988858138949792
2025-11-24,6856.75,6868.97,6905.92,6797.5,166363913.0,270213254389.5,0.1782185437707406
2025-11-25,6915.12,6954.6,7018.47,6912.32,162712530.0,289204914941.8,0.5709228473258667
2025-11-26,6946.08,6965.05,7024.88,6936.88,148943526.0,274858341724.5,0.27310367862161467
2025-11-27,6970.73,6951.28,7045.84,6943.44,137841103.0,253013152924.5,-0.2790238612024827
2025-11-28,6947.24,7031.55,7031.71,6941.48,140211184.0,243255194578.2,1.2135754630615958
2025-12-01,7053.85,7101.83,7101.83,7040.8,178973432.0,308533693613.8,0.6801959213762635
2025-12-02,7084.8,7040.3,7085.3,7022.61,149518197.0,247360273405.6,-0.6281052393857272
2025-12-03,7044.86,6996.36,7064.16,6975.09,157838867.0,251308651462.9,-0.6884451926652908
2025-12-04,7001.64,7012.81,7039.72,6958.63,141038338.0,239912559988.0,0.15953405202209872
2025-12-05,7008.65,7097.84,7104.02,6965.81,168738274.0,275108399690.5,1.2725703238141512
2025-12-08,7119.05,7172.37,7193.72,7114.32,192611750.0,347244592783.5,0.7489763381349999
2025-12-09,7150.97,7121.33,7185.11,7103.83,166901066.0,305522303623.1,-0.41448922314036174
2025-12-10,7111.57,7155.99,7171.97,7070.48,153967827.0,280495257218.4,0.6246159427524453
2025-12-11,7171.21,7082.89,7179.42,7082.89,181848554.0,300744575886.1,-1.231591321408796
2025-12-12,7088.1,7169.79,7187.1,7063.84,198402473.0,373144936682.2,1.152495026876026
2025-12-15,7121.38,7113.96,7177.15,7110.68,172174064.0,301023637030.3,-0.10419328837950051
2025-12-16,7101.67,7001.32,7102.77,6962.65,172065874.0,284968704393.8,-1.413047916898425
2025-12-17,7002.51,7137.83,7160.78,6988.87,174413136.0,302410118522.7,1.9324499358087273
2025-12-18,7096.98,7100.84,7172.96,7094.54,154896123.0,275510779270.5,0.054389331800295086
2025-12-19,7124.4,7169.55,7197.07,7117.16,178843146.0,292738015322.5,0.6337375779013046
2025-12-22,7205.49,7255.66,7277.39,7205.49,178242881.0,327207674824.3,0.6962746461378765
2025-12-23,7257.91,7256.79,7297.7,7228.72,173476002.0,328559029521.9,-0.015431439629313272
2025-12-24,7257.62,7352.04,7362.57,7247.41,168837713.0,331930929314.7,1.3009774554192708
2025-12-25,7341.92,7410.71,7426.14,7334.34,168414201.0,336366985228.8,0.936948373177588
2025-12-26,7422.6,7458.84,7484.92,7397.43,199276884.0,386914288411.3,0.488238622585075
